what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1464212030191
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1464212031250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464212032570
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464212039723
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464212040906
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464212388339
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1464212390590
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464212396795
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464212401450
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1464212401482
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1464212404498
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1464212404515
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464212415161
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464212431239
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1464212433004
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1464212433449
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1464212435830
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1464212436410
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1464212436536
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1464212437005
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1464212437229
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1464212437326
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1464212437662
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1464212438378
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1464212443094
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464212454365
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464212474467
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1464212476226
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464212479228
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464212865080
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1464212871848
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1464212882137
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1464212925009
started,bundle,org.eclipse.wst.html.core,1.1.502.v201202091936,"org.eclipse.wst.html.core",1464212925109
started,bundle,org.eclipse.wst.css.core,1.1.501.v201111292150,"org.eclipse.wst.css.core",1464212925541
started,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.400.v201102241833,"org.eclipse.wst.jsdt.web.support.jsp",1464212925765
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1464212925769
started,bundle,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.ui",1464212925821
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.core",1464212926057
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1464212926097
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.101.v201201112313,"org.eclipse.wst.jsdt.debug.ui",1464212926177
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1464212926181
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1464212936318
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1464212941951
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1464212941951
closed,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1464212943911
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464212948140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464213071817
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464213073450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464213770616
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464213773533
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464213782326
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1464213784004
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.stop",1464213786474
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1464213787130
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1464213788037
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1464213788092
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1464213796565
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1464213805987
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1464213806033
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1464213806033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464213806704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464213891318
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464213896024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464213899116
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464213901039
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464213903105
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464213905427
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464213906910
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464213908239
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464213909793
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464213911546
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464213915188
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464213918913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464213949849
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464213950834
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464213955666
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1464213957731
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464213961450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464214395720
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.ui",1464214408690
started,bundle,org.eclipse.wst.web.ui,1.1.500.v201111030500,"org.eclipse.wst.web.ui",1464214408690
started,bundle,org.eclipse.jst.common.project.facet.ui,1.4.200.v201008182133,"org.eclipse.jst.common.project.facet.ui",1464214409292
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464214409508
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464214430131
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1464214430232
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1464214466146
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1464214466209
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1464214471957
closed,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1464214471957
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464214473949
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464214479348
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1464214493199
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1464214493215
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1464214495730
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1464214495730
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1464214501071
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1464214501155
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1464214508331
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1464214510053
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1464214510116
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1464214513786
closed,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1464214513786
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1464214515667
